Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/recommend-anime,3,0,155000.0,151417.85481966668,71608.696834,227882.47983300002,1821.0,0.01316424088888832,0.0,155000,155000,228000,228000,228000,228000,228000,228000,228000,228000,228000
,Aggregated,3,0,155000.0,151417.85481966668,71608.696834,227882.47983300002,1821.0,0.01316424088888832,0.0,155000,155000,228000,228000,228000,228000,228000,228000,228000,228000,228000
